m/z,rt,row ID,GRAPE-221775.mzML Peak area,GRAPE-221831.mzML Peak area,QC_001.mzML Peak area,QC_002.mzML Peak area,GRAPE-221800.mzML Peak area,GRAPE-221789.mzML Peak area,GRAPE-221870.mzML Peak area,GRAPE-221784.mzML Peak area,QC_004.mzML Peak area,QC_003.mzML Peak area,GRAPE-221776.mzML Peak area,GRAPE-221873.mzML Peak area,QC_005.mzML Peak area,GRAPE-221871.mzML Peak area,GRAPE-221872.mzML Peak area,GRAPE-221875.mzML Peak area,GRAPE-221834.mzML Peak area,GRAPE-221844.mzML Peak area,GRAPE-221833.mzML Peak area,GRAPE-221845.mzML Peak area,GRAPE-221837.mzML Peak area,GRAPE-221838.mzML Peak area,GRAPE-221848.mzML Peak area,GRAPE-221836.mzML Peak area,GRAPE-221856.mzML Peak area,GRAPE-221835.mzML Peak area,GRAPE-221849.mzML Peak area,GRAPE-221846.mzML Peak area,GRAPE-221857.mzML Peak area,GRAPE-221847.mzML Peak area,GRAPE-221832.mzML Peak area,GRAPE-221843.mzML Peak area,GRAPE-221868.mzML Peak area,GRAPE-221859.mzML Peak area,GRAPE-221850.mzML Peak area,GRAPE-221860.mzML Peak area,GRAPE-221858.mzML Peak area,GRAPE-221869.mzML Peak area
306.9189454,21.770018,feature_2819,0,0,0,0,16957.512,0,0,0,21481.53,20055.29,0,22010.432,22222.32,0,22514.521,21306.748,0,20099.09,17854.168,18564.479,0,0,23284.512,21853.637,20516.885,0,20656.717,20962.643,0,18655.785,0,14327.91,0,22663.994,0,0,0,21912.432
418.1082646,21.784107,feature_2833,0,4871.671,0,4057.1982,3570.201,3294.6118,5317.472,0,0,4317.9707,6466.7026,4990.0024,4840.513,0,7424.716,7510.361,0,5738.173,0,7193.669,0,9517.842,5317.9136,0,4704.3657,5651.4443,5420.5977,0,3655.2114,5191.7554,4456.8125,7717.534,0,0,0,0,0,5280.3867
439.1028798,21.858639,feature_2851,0,0,0,3006.1907,2848.8628,2482.8118,4750.583,6308.5146,3824.085,3129.2144,7250.7354,4775.085,4269.7935,5348.11,3450.0728,5585.3403,0,0,2584.486,4942.051,7802.767,0,0,4180.732,4292.109,8488.674,5564.6533,5574.1987,4381.8184,3965.7607,0,6219.0747,4996.6094,0,5472.726,0,0,4024.3293
485.1079917,21.860281,feature_2852,0,4262.479,5485.694,5976.829,5461.2393,4985.512,9137.559,13129.213,6988.727,6713.651,14908.861,9326.293,8123.8047,10052.202,7032.88,11363.009,0,4333.25,4998.51,9145.603,14678.267,0,0,7799.546,7835.505,16833,10175.035,12095.593,8385.308,8775.975,0,11861.898,9100.171,3982.6033,10828.02,0,5461.3228,6681.146
464.090637,21.997252,feature_2947,10188.83,9123.207,11925.679,17299.936,20453.877,16575.156,19508.42,23979.941,20102.27,18429.818,5290.2305,20825.654,19162.572,13293.668,17005.188,17255.639,12632.925,13230.964,21945.453,28659.836,12633.273,11505.201,8887.457,11542.719,17321.727,14768.256,9546.136,25129.64,17056.436,30509.375,24078.314,35905.81,19813.045,11256.426,12254.2295,29016.633,17657.111,15211.598
463.0876135,21.998219,feature_2948,52172.188,51369.95,64103.293,82421.695,101336.555,87768.33,100934.93,116592.43,100745.86,93163.05,31488.816,107921.664,98533.875,69294.14,92237.87,91638.19,68209.29,73193.28,109904.234,147103.3,68595.61,63340.72,47437.38,65262.547,86653.42,82098.73,54921.08,133328.55,88744.086,154597.38,117163.52,177107.42,101626.12,61002.543,70139.94,146886.89,95258.336,83829.414
446.9051095,22.05479,feature_2965,12589.048,0,0,11244.933,10326.156,11782.989,14558.785,10520.787,13940.25,13522.918,0,13701.223,14094.99,0,14056.893,13646.66,13230.16,12620.464,10928.775,8001.568,11464.614,13265.511,17690.664,15343.528,14358.416,12944.604,14391.373,13516.372,0,0,13599.051,0,12555.134,16575.57,14320.704,7139.5557,13061.84,14772.964
242.9431924,22.058273,feature_2970,0,0,0,52939.785,49687.98,55109.027,56213.406,52456.27,54492.188,52779.27,0,50148.36,59736.996,0,54919.027,56060.92,56573.953,0,50831.727,45695.848,0,57018.043,0,61772.02,56039.684,0,59209.59,52411.49,42664.105,45851.434,51383.35,38610.715,50349.914,56998.59,57489.668,39770.457,57229.316,57065.027
577.0793937,22.11202,feature_2988,0,0,0,20449.473,21049.207,20102.92,23680.6,27867.66,24584.473,23375.033,7292.006,26650.184,25943.225,0,22502.164,23871.05,18533.557,18114.67,27230.746,30375.207,18243.906,17753.83,13317.821,18567.643,25521.373,21326.162,15458.506,32356.148,0,35927.844,31859.135,35252.984,24904.662,17118.697,22174.428,30149.908,25260.98,23285.836
465.0924045,22.113123,feature_2992,8946.014,9359.2705,12798.968,16352.02,17386.812,16426.89,18420.78,23078.008,20592.156,17961.887,5576.1465,20883.46,20825.88,15763.541,17928.896,18935.291,14805.948,13932.593,22809.373,26624.15,14739.551,13881.908,9904.446,13332.467,19637.902,14675.033,10838.95,25643.098,18611.799,33282.484,25854.773,37000.266,20753.127,12061.0205,15961.342,28045.482,19752.357,18038.244
